workload,cycles,cache-misses,instructions,stalled-cycles-backend,branch-misses,context-switches,iTLB-load-misses,IpNReturn,IpMispredict,BpTkBranch
500.perlbench_r,1039826726463,4777366523,2269282717168,270652143905,3221497777,25697,1416663,90.46,703.66,1.98
500.perlbench_r,1047900142519,4823038680,2281456311783,274066888090,3227852989,25893,1417858,90.32,706.07,1.98
500.perlbench_r,1055974205122,4868815095,2293631845213,277596311123,3234198863,26088,1419602,90.18,708.48,1.98
500.perlbench_r,1064046760285,4914490205,2305790456494,281163551293,3240470522,26287,1420713,90.04,710.87,1.98
500.perlbench_r,1072120854242,4960201061,2317977194979,284605159370,3246825619,26480,1422215,89.91,713.26,1.98
500.perlbench_r,1080194356255,5005891536,2330154994405,288110021760,3253143586,26675,1423414,89.77,715.63,1.98
500.perlbench_r,1088254207923,5051634387,2342283849782,291526131841,3259493385,26878,1425686,89.64,717.98,1.98
500.perlbench_r,1096322001859,5097328361,2354417766518,295055764334,3265754096,27077,1427131,89.51,720.35,1.98
500.perlbench_r,1104394666624,5142762662,2366589423996,298639671370,3271918246,27279,1428262,89.38,722.73,1.98
500.perlbench_r,1112466806273,5188243586,2378746168673,302208271701,3278101043,27484,1429298,89.25,725.1,1.97
500.perlbench_r,1120539307406,5233700340,2390900082059,305836535569,3284303492,27688,1430400,89.13,727.44,1.97
500.perlbench_r,1128612184833,5279183070,2403058074260,309459211097,3290482745,27894,1431523,89,729.79,1.97
500.perlbench_r,1136683965532,5324573839,2415189048657,313120052100,3296627646,28100,1432902,88.88,732.11,1.97
500.perlbench_r,1144756503713,5370069168,2427327798427,316631963217,3302736947,28308,1433940,88.76,734.44,1.97
500.perlbench_r,1152829986466,5415550098,2439464133625,320085470439,3308865061,28510,1435017,88.65,736.76,1.97
500.perlbench_r,1160902196370,5461053437,2451601200206,323392213250,3315033658,28712,1436216,88.53,739.08,1.97
500.perlbench_r,1168974867396,5506605366,2463751477803,326547446548,3321193341,28912,1437436,88.41,741.39,1.97
500.perlbench_r,1177047324467,5552168349,2475890527408,329975382963,3327380113,29110,1439017,88.3,743.68,1.97
500.perlbench_r,1185135648416,5597506348,2488016706230,332905421362,3333481829,29313,1440674,88.18,745.97,1.97
500.perlbench_r,1193196026309,5643043826,2500148277501,336305195713,3339565745,29512,1442019,88.07,748.27,1.97
500.perlbench_r,1201271217857,5688625793,2512289839280,339751897874,3345630501,29707,1443803,87.96,750.55,1.97
500.perlbench_r,1209346124895,5734068838,2524425692787,343223458216,3351742774,29904,1445356,87.86,752.82,1.97
500.perlbench_r,1217382903243,5779576127,2536553825945,346669374152,3357826993,30102,1447067,87.75,755.06,1.97
500.perlbench_r,1225452018340,5825056370,2548651435492,349824181298,3363880368,30302,1449297,87.65,757.32,1.97
500.perlbench_r,1233526761159,5870653671,2560759519670,353124112047,3369968556,30497,1451324,87.54,759.56,1.97
500.perlbench_r,1241578318423,5916094341,2572851952998,356552995674,3375975217,30687,1453101,87.44,761.79,1.97
500.perlbench_r,1249652960611,5961431788,2584960541777,359951190824,3381998483,30878,1455294,87.34,764.02,1.97
500.perlbench_r,1257727127455,6006750152,2597047978407,363456652573,3388037177,31082,1457462,87.24,766.24,1.97
500.perlbench_r,1265801158990,6052076404,2609103319968,366724126381,3394125455,31284,1460373,87.14,768.44,1.97
500.perlbench_r,1273875213958,6097590195,2621170149118,369983894138,3400283709,31492,1463191,87.05,770.63,1.97
500.perlbench_r,1281949493790,6143851570,2633292442064,373099339802,3406726498,31694,1466842,86.96,772.74,1.97
500.perlbench_r,1290024305470,6194369612,2645869619810,376055345517,3414227845,31894,1474022,86.87,774.34,1.97
500.perlbench_r,1298063270643,6306608932,2662149433533,377486508277,3444616153,32096,1486010,86.89,771.66,1.97
500.perlbench_r,1306094648106,6428045657,2677768501535,378917942601,3476645083,32303,1501883,86.89,768.98,1.97
500.perlbench_r,1314100401829,6548755757,2693586926332,380421583413,3508262236,32505,1510290,86.89,766.38,1.97
500.perlbench_r,1322111823544,6601925335,2710159042074,382467898865,3535788623,32713,1536496,86.95,765.26,1.97
500.perlbench_r,1330162340545,6641630832,2728914694576,384774615658,3569146501,32920,1560333,87.12,763.37,1.97
500.perlbench_r,1338216599379,6679611389,2747934147158,387049000412,3602831256,33122,1584319,87.28,761.58,1.97
500.perlbench_r,1346294382532,6719912314,2766564470996,389384574438,3636193154,33328,1608909,87.44,759.7,1.97
500.perlbench_r,1354367963903,6757628351,2785709346459,391645357356,3669763550,33531,1633037,87.61,758.17,1.97
500.perlbench_r,1362344674513,6794523126,2804844208619,393891289388,3702258858,33733,1655925,87.77,756.54,1.97
500.perlbench_r,1370384659081,6834710962,2823565284235,396185657201,3735502496,33934,1678853,87.92,754.82,1.97
500.perlbench_r,1378398399705,6873237571,2842468092531,398523110633,3768646107,34135,1702704,88.08,753.22,1.97
500.perlbench_r,1386453134550,6914972476,2861008419605,400837399921,3801545645,34338,1727475,88.23,751.58,1.97
500.perlbench_r,1394447870246,6955716310,2879639070662,403136272007,3834695900,34540,1752353,88.37,749.99,1.97
500.perlbench_r,1402525769273,6995128509,2898403260191,405440714065,3867991257,34739,1776363,88.52,748.37,1.97
500.perlbench_r,1410603937933,7036355990,2916955657670,407782855425,3900920143,34945,1799912,88.68,746.87,1.98
500.perlbench_r,1418682419536,7074132233,2935825187327,410152659382,3934452230,35147,1821784,88.83,745.25,1.98
500.perlbench_r,1426760961609,7113276900,2954719343686,412456332228,3967906368,35350,1845670,88.98,743.79,1.98
500.perlbench_r,1434839609088,7153416368,2973524849051,414745726750,4001162914,35555,1871127,89.12,742.29,1.98
500.perlbench_r,1442826913588,7193048339,2992270856123,417068145136,4034634696,35760,1894970,89.25,740.76,1.98
500.perlbench_r,1450906684051,7229049293,3011773655041,419317620227,4067745045,35961,1916150,89.41,739.56,1.98
500.perlbench_r,1458984789873,7271308536,3030343640438,421615440186,4100245128,36162,1942113,89.54,738.22,1.98
500.perlbench_r,1467059278326,7308957327,3049393051218,423914939418,4134306258,36366,1964823,89.69,736.74,1.98
500.perlbench_r,1475134977073,7340493032,3069571087496,426124081556,4167282702,36568,1983791,89.86,735.79,1.98
500.perlbench_r,1483213452386,7380462788,3088365206157,428434724546,4201036566,36772,2010237,90,734.39,1.98
500.perlbench_r,1491259035542,7420124116,3107172500556,430747440284,4234290386,36975,2036034,90.14,733.01,1.98
500.perlbench_r,1499311397278,7459928253,3125962244510,433034060743,4268030275,37182,2060974,90.28,731.66,1.98
500.perlbench_r,1507394592771,7495786181,3145365988836,435288192818,4301788955,37385,2083816,90.42,730.43,1.98
500.perlbench_r,1515448019827,7538163856,3163667671180,437635122692,4335016017,37584,2109799,90.54,729.02,1.98
500.perlbench_r,1523499067111,7580667798,3181975503559,439955965276,4368133536,37788,2135108,90.66,727.71,1.98
500.perlbench_r,1531568909585,7616656781,3201219722904,442229714507,4401576436,37993,2154947,90.8,726.55,1.99
500.perlbench_r,1539643039120,7658819509,3219674770676,444547792201,4434472235,38193,2181517,90.92,725.32,1.99
500.perlbench_r,1547647065028,7699141924,3237922888357,446840871708,4467402264,38392,2208276,91.05,724.07,1.99
500.perlbench_r,1555710325045,7738290268,3256859873996,449102403455,4500235253,38592,2231483,91.17,722.99,1.99
500.perlbench_r,1563783443143,7779335289,3275328356317,451442721582,4533212682,38795,2256881,91.29,721.83,1.99
500.perlbench_r,1571857573235,7818319554,3293978015142,453817435266,4566317312,38996,2279215,91.42,720.66,1.99
500.perlbench_r,1579932044031,7859491704,3312534646389,456105957862,4599612252,39193,2304373,91.54,719.48,1.99
